"","year","catch","index1"
"1",1999,25600,NA
"2",2000,20044,NA
"3",2001,23073,NA
"4",2002,20976,NA
"5",2003,14657,523.625
"6",2004,16669,997.307
"7",2005,18907,323.545
"8",2006,21691,696.733
"9",2007,17542,1063.379
"10",2008,8739,815.207
"11",2009,10673,1091.252
"12",2010,11522,544.647
"13",2011,11452,935.187
"14",2012,12261,587.877
"15",2013,14914,1441.189
"16",2014,16824,506.789
"17",2015,19275,540.06
"18",2016,22457,521.731
"19",2017,16198,609.756
