Stock,ICES_Fmsy,ICES_Fmsy_lower,ICES_Fmsy_upper,ICES_F_end,ICES_B_end
Sol_7_hk,0.157,,,0.168,0.855
Cod_7_ek,0.35,0.23,0.55,,
Had_7_bk,0.4,0.26,0.6,0.66,19.319
Whg_7_bk,0.52,,,0.46,44.42
Ple_7_hk,0.285,,,0.9,0.142
Whg_7_a,0.22,,,0.57,1.426
Cod_6_a,0.19,0.108,0.254,0.159,3.413
Cod_7_a,0.44,0.36,0.44,0.039,6.939
Had_6_b,0.2,0.13,0.2,,
Ple_7_a,0.169,,,0.066,17.106
