year,catch
1970,1785
1971,1882
1972,1450
1973,1428
1974,1307
1975,1441
1976,1463
1977,1147
1978,1106
1979,1614
1980,1941
1981,1667
1982,1338
1983,1169
1984,1058
1985,1146
1986,1995
1987,2808
1988,1999
1989,1833
1990,1583
1991,1212
1992,1259
1993,1023
1994,1374
1995,1266
1996,1002
1997,1003
1998,911
1999,863
2000,818
2001,1053
2002,1090
2003,1014
2004,709
2005,855
2006,569
2007,492
2008,332
2009,325
2010,277
2011,330
2012,298
2013,148
2014,99
2015,76
2016,35
2017,34
