"","year","catch","index1"
"1",1993,246,NA
"2",1994,178,NA
"3",1995,241,NA
"4",1996,166,NA
"5",1997,191,NA
"6",1998,219,NA
"7",1999,200,NA
"8",2000,109,NA
"9",2001,127,NA
"10",2002,144,NA
"11",2003,102,NA
"12",2004,85,NA
"13",2005,77,NA
"14",2006,61,2740
"15",2007,83,3515
"16",2008,77,4361
"17",2009,69,3514
"18",2010,82,3456
"19",2011,87,3710
"20",2012,94,3488
"21",2013,91,4576
"22",2014,87,4460
"23",2015,78,5615
"24",2016,115,6171
"25",2017,114,4515
