"","Stock","Method","FixN2","Use.r","Use.k","Use.q","Resilience","Prior.r.low","Prior.r.hi","Prior.k.low","Prior.k.hi","Prior.log.k","Prior.log.k.sd","Prior.q.low","Prior.q.hi","Prior.log.q","Prior.log.q.sd","r","r.low","r.high","k","k.low","k.high","msy","msy.low","msy.high","fmsy","fmsy.low","fmsy.high","bmsy","bmsy.low","bmsy.high","b.end","b.end.low","b.end.hi","bbmsy","bbmsy.low","bbmsy.hi","f.end","f.end.low","f.end.hi","ffmsy","ffmsy.low","ffmsy.hi","Converge","Prior.Warn","Fit.Warn"
"25","Sol_7_hk","CMSY","Y","Y","Y","Y","Medium","0.2","0.8","0.3075","4.92","0.960785971760706","0.535016540874068","9956.82210708118","39827.2884283247","10.1223039659865","0.229072682968539",0.423162082317749,0.290907480147787,0.615543291704028,2.17518200778509,1.16368692492302,4.06588461695139,0.230113636958609,0.108673288878336,0.487261280677727,0.211581041158874,0.145453740073894,0.307771645852014,1.08759100389254,0.581843462461509,2.03294230847569,0.453212040124529,0.0378042779314669,0.847009201450448,0.41671183239146,0.0347596456720987,0.77879386499057,0.251537889347944,0.13459121790505,3.0155317397323,1.42646406192368,0.763262886119393,17.1009928781271,"","",""
"251","Sol_7_hk","BSM","Y","Y","Y","Y","Medium","0.2","0.8","0.3075","4.92","0.960785971760706","0.535016540874068","9956.82210708118","39827.2884283247","10.1223039659865","0.229072682968539",0.536859370465814,0.397029924989399,0.725935163866165,1.32284714466903,1.02004694100653,1.71553337185862,0.177545721327379,0.140424511688148,0.224479920084493,0.268429685232907,0.198514962494699,0.362967581933082,0.661423572334516,0.510023470503266,0.857766685929312,0.389881667175864,0.271059619235177,0.510317318396147,0.589458379597454,0.409812456907852,0.771543893718462,0.292396410494926,0.223390419824052,0.420571682058962,1.08928492853249,0.832212054453755,1.5667852893917,"","",""
"1","Sol_7_hk","SPICT","N","N","N","N","Medium","0.2","0.8","0.3075","4.92","0.960785971760706","0.535016540874068","9956.82210708118","39827.2884283247","10.1223039659865","0.229072682968539",1.56001721569181,1.16103751016205,1.95899692122156,0.858333316884132,0.643922620427787,1.07274401334048,0.14063458,0.12774115,0.1548294,0.22803428,0.15698299,0.33124373,0.61672687,0.4675121,0.81356617,0.52786231,0.31982977,0.87120914,0.85590939,0.62674101,1.16887336,0.20900056,0.1197439,0.36478881,0.91653134,0.64740771,1.2975281,"Convergence: 1  MSG: false convergence (8)","",""
"11","Sol_7_hk","SPICT","Y","N","N","N","Medium","0.2","0.8","0.3075","4.92","0.960785971760706","0.535016540874068","9956.82210708118","39827.2884283247","10.1223039659865","0.229072682968539",0.446022252894042,-0.0160175769771973,0.908062082765281,1.1186021191998,0.111507049105757,2.12569718929384,0.1243673,0.06171554,0.25062125,0.22272725,0.07895937,0.62826526,0.55838502,0.2270722,1.37310438,0.40138943,0.07962982,2.02328058,0.7188399,0.18101773,2.85458676,0.26978604,0.05221707,1.39388357,1.21128442,0.56830986,2.58170772,"Convergence: 0  MSG: relative convergence (4)","",""
"12","Sol_7_hk","SPICT","Y","Y","N","N","Medium","0.2","0.8","0.3075","4.92","0.960785971760706","0.535016540874068","9956.82210708118","39827.2884283247","10.1223039659865","0.229072682968539",0.477117518928883,0.142673914248056,0.81156112360971,1.07290759699588,0.296310287674214,1.84950490631755,0.12761697,0.06612755,0.24628301,0.23826956,0.11814073,0.48054877,0.53560018,0.25975512,1.10437687,0.36380015,0.11755803,1.1258317,0.6792383,0.20786839,2.21950376,0.29810833,0.09459857,0.9394283,1.25113895,0.68400077,2.28851887,"Convergence: 0  MSG: relative convergence (4)","",""
"13","Sol_7_hk","SPICT","Y","Y","Y","N","Medium","0.2","0.8","0.3075","4.92","0.960785971760706","0.535016540874068","9956.82210708118","39827.2884283247","10.1223039659865","0.229072682968539",0.428108644568248,0.261291199932815,0.59492608920368,1.82684472078652,1.06717914269877,2.58651029887428,0.18935106,NA,NA,0.21106911,0.13945585,0.31945714,0.89733128,0.61023961,1.31948733,1.69007909,1.01858673,2.80424556,1.88345054,1.57914827,2.24639193,0.06564181,0.04451434,0.09679683,0.31099678,0.23412046,0.41311638,"Convergence: 1  MSG: false convergence (8)","",""
"14","Sol_7_hk","SPICT","Y","Y","N","Y","Medium","0.2","0.8","0.3075","4.92","0.960785971760706","0.535016540874068","9956.82210708118","39827.2884283247","10.1223039659865","0.229072682968539",0.637758154183453,0.393113591858266,0.882402716508639,0.974916405486074,0.111869283296064,1.83796352767608,0.15500728,0.07767219,0.30934182,0.31851966,0.21697566,0.46758598,0.48664991,0.20086903,1.17901766,0.23477746,0.15026592,0.36681939,0.48243605,0.19019448,1.22371866,0.46168291,0.28632974,0.74442531,1.44946438,1.03504568,2.02981089,"Convergence: 0  MSG: relative convergence (4)","",""
"15","Sol_7_hk","SPICT","Y","Y","Y","Y","Medium","0.2","0.8","0.3075","4.92","0.960785971760706","0.535016540874068","9956.82210708118","39827.2884283247","10.1223039659865","0.229072682968539",0.56478477806215,0.364975767710946,0.764593788413354,2.18781593893418,-0.221481864693873,4.59711374256223,0.30787019,0.10562666,0.89734973,0.28199532,0.19791611,0.40179327,1.09175939,0.3630585,3.28304828,0.23441098,0.14974354,0.36695077,0.21470938,0.06440795,0.71575194,0.46011456,0.29100861,0.72748849,1.631639,1.26206445,2.10943731,"Convergence: 0  MSG: both X-convergence and relative convergence (5)","",""
