"","Profile","Resilience","r","r.low","r.high","k","k.low","k.high","msy","msy.low","msy.high","bmsy","bmsy.low","bmsy.high","fmsy","fmsy.low","fmsy.high","NA"
"1","Very low",0.0308423128488678,0.013581206994145,0.0700415112057072,756759.569967627,392486.445453576,1459120.57186017,5835.05385207905,2476.70997397946,13747.2105391315,378379.784983814,196243.222726788,729560.285930085,0.0154211564244339,0.00679060349707248,0.0350207556028536,"BSM","BSM"
"2","Low",0.103253763615589,0.0465755812100072,0.228904061394583,294249.513661701,150213.092518718,576399.665557506,7595.59243190682,4624.99811401953,12474.1725227429,147124.756830851,75106.546259359,288199.832778753,0.0516268818077944,0.0232877906050036,0.114452030697291,"BSM","BSM"
"3","Medium",0.323000149565759,0.200913819255492,0.519272875335831,111068.399885229,75233.7703872666,163971.437156007,8968.77744373963,7165.93132191346,11225.193938065,55534.1999426146,37616.8851936333,81985.7185780036,0.16150007478288,0.100456909627746,0.259636437667916,"BSM","BSM"
"4","High",0.811784679989397,0.603778732595646,1.09145011423716,53066.4986180307,41670.1293161599,67579.6625014402,10769.642649699,9412.53414666835,12322.4204018711,26533.2493090154,20835.0646580799,33789.8312507201,0.405892339994699,0.301889366297823,0.545725057118582,"BSM","BSM"
