Stock,Method,Index,FixN2,Use.r,Use.k,Use.q,Resilience,Prior.r.low,Prior.r.hi,Prior.k.low,Prior.k.hi,Prior.log.k,Prior.log.k.sd,Prior.q.low,Prior.q.hi,Prior.log.q,Prior.log.q.sd,r,r.low,r.high,k,k.low,k.high,msy,msy.low,msy.high,fmsy,fmsy.low,fmsy.high,bmsy,bmsy.low,bmsy.high,b.end,b.end.low,b.end.hi,bbmsy,bbmsy.low,bbmsy.hi,f.end,f.end.low,f.end.hi,ffmsy,ffmsy.low,ffmsy.hi,Converge,Prior.Warn,Fit.Warn
Whg_7_a,SPICT,4,Y,Y,N,N,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.715192725,0.074429029,1.35595642,144.7355193,-132.2373591,421.7083976,24.72030048,6.53509115,93.50952302,0.35133709,0.14168789,0.87119478,70.39576871,10.34164303,479.1853905,140.0410363,20.00201214,980.4759495,1.98933883,1.57551787,2.51185282,0.0115878,0.00163443,0.0821554,0.032982,0.00825965,0.13170201,Convergence: 0  MSG: relative convergence (4),,
Whg_7_a,SPICT,4,Y,Y,Y,N,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.652458111,0.242616705,1.062299518,188.2017626,11.34144183,365.0620834,29.31555905,12.4561443,68.99422341,0.32031344,0.16866217,0.60832076,91.56825124,35.71886146,234.7427743,182.5080294,68.79694064,484.1665991,1.99313656,1.57654477,2.51981004,0.00892223,0.00315588,0.02522474,0.02785469,0.01076181,0.07209604,Convergence: 0  MSG: relative convergence (4),,
Whg_7_a,SPICT,4,Y,Y,N,Y,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,8.675022809,5.912729634,11.43731598,6.514394507,4.65109499,8.377694024,14.32715422,12.24167717,16.76791057,4.42475996,3.27244609,5.98283368,3.23756405,2.45286083,4.27330438,6.13842267,4.36609882,8.63018326,1.89600038,1.55103622,2.31768762,0.25840069,0.1538401,0.43402805,0.0583988,0.03695188,0.09229356,Convergence: 0  MSG: relative convergence (4),,
Whg_7_a,SPICT,4,Y,Y,Y,Y,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.491930365,0.291290632,0.692570099,185.6385468,-13.69091376,384.9680073,16.85007229,5.61176861,50.59455507,0.2182682,0.14582217,0.32670619,78.95787081,26.71276989,233.3844595,8.5336677,5.31147379,13.71059846,0.10807875,0.03276154,0.35654658,0.1920857,0.10766025,0.34271624,0.8800444,0.46877036,1.65214827,Convergence: 0  MSG: relative convergence (4),,
Cod_7_ek,CMSY,1,Y,Y,Y,Y,Medium,0.2,0.8,20.72875,331.66,5.171587789,0.535016541,0.120731499,0.482925995,-1.197895485,0.229072683,0.415821166,0.268440766,0.644116931,90.76060992,68.5314892,120.2000483,9.435045666,8.544939297,10.41787234,0.207910583,0.134220383,0.322058465,45.38030496,34.2657446,60.10002416,7.798817104,1.276474967,17.68378647,0.171854665,0.028128391,0.389679763,0.286838372,0.126500057,1.752482467,4.013925717,1.770201907,24.52368698,,,
Cod_7_ek,BSM,1,Y,Y,Y,Y,Medium,0.2,0.8,20.72875,331.66,5.171587789,0.535016541,0.120731499,0.482925995,-1.197895485,0.229072683,0.405647355,0.283657254,0.580100716,93.26841504,70.51324652,123.3668519,9.458521462,8.222367699,10.88051903,0.202823677,0.141828627,0.290050358,46.63420752,35.25662326,61.68342597,7.835785632,2.59068034,18.14748383,0.168026564,0.055553219,0.389145325,0.285485094,0.123267778,0.863479745,4.18848384,1.808518569,12.66851066,,,
Cod_7_ek,SPICT,1,N,N,N,N,Medium,0.2,0.8,20.72875,331.66,5.171587789,0.535016541,0.120731499,0.482925995,-1.197895485,0.229072683,0.20598344,0.197482839,0.214484041,120.2626826,NA,NA,7.8985709,NA,NA,0.18722621,0.18533104,0.18914076,42.21582816,42.01944408,42.41313007,5.64094816,2.68766297,11.83939229,0.13362164,0.0636772,0.28039459,0.4544095,0.20739281,0.99563718,2.42706134,1.10748227,5.31893552,Convergence: 1  MSG: false convergence (8),,
Cod_7_ek,SPICT,1,Y,N,N,N,Medium,0.2,0.8,20.72875,331.66,5.171587789,0.535016541,0.120731499,0.482925995,-1.197895485,0.229072683,0.231642671,0.229505626,0.233779716,130.8155883,125.0006686,136.630508,7.03290033,6.83061087,7.24118062,0.11191968,0.10973763,0.11414512,62.92520466,60.22590147,65.74548964,9.32397936,4.93194963,17.62722605,0.14817559,0.07813291,0.28100841,0.28392148,0.14210395,0.56727071,2.53683247,1.26503409,5.0872297,Convergence: 1  MSG: false convergence (8),,
Cod_7_ek,SPICT,1,Y,Y,N,N,Medium,0.2,0.8,20.72875,331.66,5.171587789,0.535016541,0.120731499,0.482925995,-1.197895485,0.229072683,0.274058888,0.194657208,0.353460567,105.4692866,81.58417603,129.3543971,6.25252946,5.42994526,7.19972722,0.12849375,0.10613305,0.15556552,48.9144035,35.86187069,66.71762581,9.17799496,2.16582776,38.89302411,0.18763379,0.03715845,0.94746798,0.28430005,0.06059143,1.33395968,2.2125594,0.4318146,11.33685392,Convergence: 1  MSG: false convergence (8),,
Cod_7_ek,SPICT,1,Y,Y,N,Y,Medium,0.2,0.8,20.72875,331.66,5.171587789,0.535016541,0.120731499,0.482925995,-1.197895485,0.229072683,0.594386854,0.302966138,0.88580757,70.68686969,27.89987223,113.4738671,9.21373365,5.72717153,14.82282961,0.28212855,0.16902068,0.47092768,32.79406274,17.67954466,60.83021772,3.84398573,1.70560836,8.66331722,0.1172159,0.04625182,0.29706006,0.6799544,0.28578531,1.61778081,2.41008721,1.11740977,5.19820077,Convergence: 0  MSG: relative convergence (4),,
