"","year","catch","index1"
"1",1993,437,NA
"2",1994,317,NA
"3",1995,419,NA
"4",1996,336,NA
"5",1997,375,NA
"6",1998,306,NA
"7",1999,311,NA
"8",2000,225,NA
"9",2001,182,NA
"10",2002,183,NA
"11",2003,147,NA
"12",2004,104,NA
"13",2005,94,NA
"14",2006,71,2576
"15",2007,94,2978
"16",2008,79,4037
"17",2009,80,2729
"18",2010,78,2382
"19",2011,80,3317
"20",2012,112,3229
"21",2013,65,1959
"22",2014,89,2983
"23",2015,33,739
"24",2016,37,877
"25",2017,53,1386
