year,catch
1971,1861
1972,1278
1973,1391
1974,1105
1975,919
1976,1350
1977,961
1978,780
1979,954
1980,1314
1981,1212
1982,1128
1983,1373
1984,1266
1985,1328
1986,1600
1987,1222
1988,1146
1989,992
1990,1189
1991,1107
1992,981
1993,928
1994,1009
1995,1157
1996,995
1997,927
1998,875
1999,1012
2000,1091
2001,1168
2002,1345
2003,1547
2004,1398
2005,1118
2006,946
2007,945
2008,800
2009,805
2010,876
2011,1029
2012,1104
2013,1093
2014,1042
2015,830
2016,831
2017,776
