"","Profile","Resilience","r","r.low","r.high","k","k.low","k.high","msy","msy.low","msy.high","fmsy","fmsy.low","fmsy.high","bmsy","bmsy.low","bmsy.high"
"1","H_H","Medium",0.540640895309316,0.375874487935854,0.777633457609767,73036.3221808875,50853.2568890024,104896.022084752,9871.60565349369,8976.20874686434,10856.3204049962,0.270320447654658,0.187937243967927,0.388816728804884,36518.1610904437,25426.6284445012,52448.0110423762
"2","H_M","Medium",0.422105498392165,0.273555705894606,0.651322739513772,88348.9742080703,66809.7267919002,116832.407770968,9323.14694763352,8547.43508796587,10169.25757407,0.211052749196083,0.136777852947303,0.325661369756886,44174.4871040351,33404.8633959501,58416.2038854841
"3","H_L","Medium",0.41271417327905,0.283937822400571,0.599895383381186,89793.1738746616,68276.3502731036,118090.876888324,9264.72888044572,8466.8741422233,10137.7674672303,0.206357086639525,0.141968911200285,0.299947691690593,44896.5869373308,34138.1751365518,59045.4384441622
"4","M_H","Medium",0.540640895309316,0.383467656274029,0.762235283468039,73276.8459552556,51012.9165821339,105257.580097485,9904.11490067305,9003.06726818805,10895.3414479459,0.270320447654658,0.191733828137015,0.38111764173402,36638.4229776278,25506.4582910669,52628.7900487423
"5","M_M","Medium",0.442639327361351,0.317667512930537,0.616775610195154,85813.3108540766,63706.7769537636,115590.909976232,9496.08654877475,8675.11623664718,10394.7494514117,0.221319663680676,0.158833756465269,0.308387805097577,42906.6554270383,31853.3884768818,57795.454988116
"6","M_L","Medium",0.415821166238223,0.268273042986337,0.644519629579489,90613.6907250434,68510.4935538356,119847.93162177,9419.7726386093,8553.10101725728,10374.2626661442,0.207910583119112,0.134136521493168,0.322259814789745,45306.8453625217,34255.2467769178,59923.9658108851
"7","L_H","Medium",0.516851334491699,0.352748479033189,0.757296821514336,77801.5380961768,49184.8443684902,123067.977704301,10052.9571976289,7356.531324131,13737.7174057364,0.25842566724585,0.176374239516594,0.378648410757168,38900.7690480884,24592.4221842451,61533.9888521504
"8","L_M","Medium",0.444858066222941,0.312938059811883,0.632389359103773,86631.8032141017,63848.1896024793,117545.530654097,9634.71411280791,8677.13543243579,10697.9678671999,0.222429033111471,0.156469029905941,0.316194679551887,43315.9016070509,31924.0948012397,58772.7653270487
"9","L_L","Medium",0.423162082317749,0.31584616612145,0.566941021036925,90200.6957355365,68073.466599813,119520.364064979,9542.37855848981,8754.79464713866,10400.813751044,0.211581041158874,0.157923083060725,0.283470510518463,45100.3478677682,34036.7332999065,59760.1820324894
