"","Resilience","r","r.low","r.high","k","k.low","k.high","msy","msy.low","msy.high","bmsy","bmsy.low","bmsy.high","fmsy","fmsy.low","fmsy.high"
"1","Very low",0.0348035876178181,0.0154585732160013,0.0783571481110119,635624.435301011,346537.341629738,1165872.69023206,5530.50268150621,2720.43188076104,11243.2368281138,317812.217650506,173268.670814869,582936.345116031,0.017401793808909,0.00772928660800067,0.0391785740555059
"2","Low",0.227773359710644,0.129376176519529,0.401006621076354,148741.453240734,93847.119177835,235745.328210255,8469.83513322143,6770.6030769672,10595.5269225568,74370.7266203672,46923.5595889175,117872.664105127,0.113886679855322,0.0646880882597646,0.200503310538177
"3","Medium",0.403699918105355,0.284336544166074,0.573171571583431,93917.0399797485,70990.0480613439,124248.548063185,9478.57533713046,8183.18160137148,10979.0292820338,46958.5199898743,35495.0240306719,62124.2740315924,0.201849959052677,0.142168272083037,0.286585785791716
"4","High",0.912004576342834,0.738003080981224,1.12703099581156,48923.2075264323,41031.074732298,58333.3546657093,11154.5472883691,10367.2186545878,12001.6688519829,24461.6037632162,20515.537366149,29166.6773328547,0.456002288171417,0.369001540490612,0.563515497905782
"5","0.1-1",0.323755231448252,0.201553933084074,0.52004666089244,111884.193742831,76460.6724926787,163719.104232073,9055.77326015279,7622.45635464418,10758.6092361596,55942.0968714153,38230.3362463393,81859.5521160364,0.161877615724126,0.100776966542037,0.26002333044622
