"","Resilience","r","r.low","r.high","k","k.low","k.high","msy","msy.low","msy.high","fmsy","fmsy.low","fmsy.high","bmsy","bmsy.low","bmsy.high"
"1","Very low",0.0620385073773583,0.039696192606757,0.0969558072165191,500112.846072712,233048.638203616,1073221.71343659,7756.56362264836,4166.38892773854,14440.3895737233,0.0310192536886791,0.0198480963033785,0.0484779036082595,250056.423036356,116524.319101808,536610.856718295
"2","Low",0.218711886952215,0.127326579630674,0.375686597668368,153508.550714772,85247.9846111466,276427.357784931,8393.53619753189,6599.44787454078,10675.3551567646,0.109355943476107,0.0636632898153369,0.187843298834184,76754.275357386,42623.9923055733,138213.678892466
"3","Medium",0.406569659740599,0.297750318815009,0.55515939959173,92796.6260441988,71051.2834288502,121197.160552491,9432.07316896638,8656.83799086927,10276.7320306294,0.2032848298703,0.148875159407504,0.277579699795865,46398.3130220994,35525.6417144251,60598.5802762453
"4","High",0.733446956224289,0.678242761376907,0.793144384619142,55191.3095743705,49235.4980613425,61867.570604016,10119.9745043386,9248.5565991985,11073.4991855204,0.366723478112145,0.339121380688454,0.396572192309571,27595.6547871852,24617.7490306712,30933.785302008
"5","0.1-1",0.377192353563157,0.226502340676468,0.628135105189641,95444.9533426502,58231.1082584426,156441.108387455,9000.27664676,7898.40307710915,10255.868044134,0.188596176781578,0.113251170338234,0.314067552594821,47722.4766713251,29115.5541292213,78220.5541937277
