Tuning Data; Sole in ICES Div IIIa,,,,,,,
102,,,,,,,
Private logbooks Gillnet KC + KS combined,,,,,,,
1994,2007,,,,,,
1,1,0.25,0.87,,,,
2,8,,,,,,
7246,1071,8794,7892,2547,1254,268,187
5900,682,3284,6795,4942,1673,936,203
24238,4914,19748,8589,10880,6350,2872,1578
19939,1303,5568,8787,7036,9251,6658,4775
18984,2685,3309,3816,4869,2632,3033,3443
19917,10704,33215,3187,3507,2700,2176,1978
23645,2336,12192,11953,1815,2285,2461,2222
17755,5721,11108,9181,3953,1463,2717,812
19930,17094,20860,6010,6043,6757,2384,2155
13812,2029,17166,16000,4387,7051,2468,395
5518,547,3854,4483,2289,1391,864,523
9067,2827,11590,13754,5559,1832,485,455
9742,1495,5999,10446,8760,5434,1443,991
7026,1374,2638,2360,3039,1856,920,394
Private logbook TR KC+KS combined,,,,,,,
1987,2008,,,,,,
1,1,0.75,1,,,,
2,6,,,,,,
712,2756,5140,5562,2667,954,,
876,5667,7735,5361,3432,1025,,
933,5097,2253,3761,2825,2126,,
1174,16408,10277,2753,3874,1545,,
1809,16085,35139,14745,4452,3878,,
3136,56849,46507,16304,7177,1545,,
4035,41739,44475,19945,11105,6685,,
5276,9498,55455,64125,19324,12725,,
4969,42026,35885,41231,29359,14705,,
4294,24861,38831,23489,26033,16360,,
4027,3927,13138,14220,10668,13279,,
2464,12543,3357,1117,1041,1736,,
2142,13031,24798,3690,4268,3927,,
3342,9566,16153,20370,3215,2692,,
2268,6292,11562,6052,6953,635,,
1498,29987,20538,4835,5483,3963,,
2093,7473,21584,14949,7199,3760,,
3999,20124,39887,47640,18374,8401,,
2463,7956,34026,29590,16011,6975,,
3132,11878,14708,24084,19146,12809,,
2730,14422,11847,4636,8756,515,,
1281,4393,2674,2438,2735,2130,,
