year,catch
1984,339.371
1985,397.655
1986,643.306
1987,720.024
1988,703.778
1989,826.978
1990,1053.137
1991,1063.273
1992,1390.866
1993,1441.949
1994,1206.353
1995,1327.908
1996,1077.718
1997,815.4
1998,604.647
1999,635.413
2000,645.716
2001,478.827
2002,864.811
2003,620.802
2004,830.952
2005,1005.982
2006,853.57
2007,655.672
2008,642.574
2009,650.931
2010,535.482
2011,506.868
2012,357.775
2013,304.835
2014,331.807
2015,214.089
2016,346.237
2017,518.248
